city_slug,name,month,typical_weeks,url,source,verified_asof
palm-springs,Palm Springs Pride Honors awards ceremony,Sep,,https://www.pspride.org/psevents,https://www.pspride.org/psevents,2026-09-20
guerneville,Russian River Pride Parade & Festival,Sep,,https://russianriverpride.org/,https://russianriverpride.org/ ; https://www.pressdemocrat.com/2026/09/17/russian-river-pride-parade-and-festival-returns-this-weekend-heres-whats-in-store/,2026-09-20
guerneville,Sonoma County Pride Parade & Festival (Santa Rosa),Jun,,https://www.sonomacountypride.org/,https://www.sonomacountypride.org/ ; https://www.pressdemocrat.com/2026/06/06/music-glitter-and-rainbow-flags-flood-downtown-santa-rosa-for-pride/,2026-09-20
las-vegas,Las Vegas Pride Parade,Oct,,https://lasvegaspride.org/,https://lasvegaspride.org/,2026-09-20
las-vegas,Las Vegas Pride Festival & Celebration,Oct,,https://lasvegaspride.org/,https://lasvegaspride.org/,2026-09-20
portland,Portland Pride Waterfront Festival & Parade,Jul,,https://portlandpride.org/,https://portlandpride.org/,2026-09-20
portland,Basic Rights Oregon Ignite Gala,Oct,,https://www.basicrights.org/,https://www.basicrights.org/,2026-09-20
portland,Portland Gay Men's Chorus 'Cool Yule',Dec,,https://pdxgmc.org/,https://pdxgmc.org/,2026-09-20
denver,Denver Pride (PrideFest & Parade),Jun,,https://www.denverpride.org/,https://www.denverpride.org/ ; https://lgbtqcolorado.org/west-of-50/,2026-09-20
phoenix,Phoenix Pride Festival & Parade,Oct,,https://phoenixpride.org/events/pride-festival/,organizer,2026-09-20
phoenix,Rainbows Festival,Mar,,https://phoenixpride.org/,organizer (phoenixpride.org),2026-09-20
tucson,Tucson's Big Gay 5K (SAAF),Oct,,https://www.saaf.org,organizer,2026-09-20
tucson,AIDSWalk Tucson (SAAF),Dec,,https://www.saaf.org,organizer,2026-09-20
santa-fe,PRIDE Santa Fe — Pride on the Plaza festival & parade,Jun,,https://hrasantafe.org/pride/,organizer,2026-09-20
albuquerque,Albuquerque PrideFest & Pride Parade,Jun,,https://abqpride.com,organizer; The Paper (abq.news) 2026-06-08,2026-09-20
austin,Austin Pride Festival + Parade,Aug,,https://austinpride.org/event/pride-2026/,Austin Pride Foundation,2026-09-20
austin,aGLIFF Big Queer Weekend,Sep,,https://www.agliff.org/,"aGLIFF (Polari, Inc.); Austin LGBT Chamber",2026-09-20
austin,Pride in Local Music (Austin LGBT Chamber),Sep,,https://austinlgbtchamber.com/,Austin LGBT Chamber of Commerce,2026-09-20
eureka-springs,Spring Diversity Weekend (Out In Eureka),Apr,,https://www.outineureka.org/events,The Gayly 2026-01-25; Out In Eureka,2026-09-20
eureka-springs,Fall Diversity Weekend (Out In Eureka),Nov,,https://www.outineureka.org/events,Out In Eureka; Greater Eureka Springs Chamber,2026-09-20
eureka-springs,Eureka Springs Pride Festival,Jun,,https://www.eurekaspringschamber.com/events/details/bianca-del-rio-live-at-the-aud-11167,Greater Eureka Springs Chamber of Commerce,2026-09-20
saugatuck,Douglas Oktoberfest (CommUNITY PRIDE fundraiser),Oct,,https://communitypridemi.org/,CommUNITY PRIDE,2026-09-20
saugatuck,Lambda Car Club Weekend,Sep,,https://www.dunesresort.com/events/,The Dunes Resort,2026-09-20
saugatuck,Mr. Michigan Leather Weekend,Sep,,https://www.dunesresort.com/events/,The Dunes Resort,2026-09-20
saugatuck,Fall Into The Dunes Weekend,Oct,,https://www.dunesresort.com/events/,The Dunes Resort,2026-09-20
