city_slug,name,type,url,source,verified_asof,status
st-pete,St Pete Pride office,other,https://stpetepride.org/,Own site: 2026 events Sept-Nov listed,2026-09-20,open
sarasota,Project Pride SRQ headquarters,center,https://www.ppsrq.org/,Own site; blog posts April-June 2026,2026-09-20,open
wilton-manors,The Pride Center at Equality Park,center,https://www.pridecenterflorida.org/,"Own site: 2026 events (Active Aging Expo 2026, films, clinics)",2026-09-20,open
wilton-manors,"Stonewall National Museum, Archives & Library (Fort Lauderdale)",other,https://www.stonewall-museum.org/,"Own site: posted hours and events dated Sept 28-Oct 22, 2026",2026-09-20,open
key-west,Bourbon Street Pub,bar,https://bourbonstpub.com/,Own site with 2026-dated content,2026-09-20,open
key-west,Island House Resort,other,https://www.islandhousekeywest.com/,Own site: 2026 copyright and 2026 promotion,2026-09-20,open
key-west,AH Health / Keys Health + Housing,health,https://ahhealth.org/,Own site; announcement dated 2026-03-21,2026-09-20,open
key-west,Key West Business Guild / Gay Key West Visitor Center,center,https://gaykeywestfl.com/,WLRN 2026-06-04 and Metro Weekly 2026-05-10 report Guild running 2026 Pride,2026-09-20,open
rehoboth,CAMP Rehoboth Community Center,center,https://www.camprehoboth.org/,Own site with 2026 events; Cape Gazette 2026-03-12,2026-09-20,open
rehoboth,Aqua Bar & Grill,bar,https://www.aquarehoboth.com/,Own site 2026 posts; Cape Gazette 2026-07-16,2026-09-20,open
provincetown,Provincetown Business Guild,other,https://ptown.org/,Own site with 2026 theme-week calendar,2026-09-20,open
provincetown,Crown & Anchor,bar,https://www.onlyatthecrown.com/,Own site with 2026 programming,2026-09-20,open
provincetown,Boatslip Resort & Beach Club,bar,https://theboatslip.com/,Own site with 2026 copyright and upcoming-events section,2026-09-20,open
provincetown,Outer Cape Health Services - Provincetown,health,https://www.outercape.org/,Own site with copyright through 2026,2026-09-20,open
ogunquit,MaineStreet Ogunquit,bar,https://www.mainestreetogunquit.com/,Own site listing Sept 2026 events; 2026 Pride schedule,2026-09-20,open
ogunquit,Perkins Cove Bookshop,bookstore,https://www.perkinscovebookshop.com/,Own site with 2026 titles; 2026 Pride sponsor list,2026-09-20,open
ogunquit,Ogunquit Chamber of Commerce,other,https://www.ogunquit.org/,Own site with 2026 Pride pages,2026-09-20,open
ogunquit,EqualityMaine,center,https://www.equalitymaine.org/,Own site with Sept 2026 news,2026-09-20,open
new-hope,New Hope Celebrates,other,https://www.newhopecelebrates.com/,Own site with May 2026 PrideFest schedule,2026-09-20,open
palm-springs,The LGBTQ Community Center of the Desert,center,https://thecentercv.org/en/,Official site lists 2026 events (Center Stage Gala) and programs,2026-09-20,open
palm-springs,DAP Health,health,https://daphealth.org/,"Official site (metadata dated 2026-08-27) lists primary care, HIV and behavioral health",2026-09-20,open
palm-springs,Greater Palm Springs Pride,other,https://www.pspride.org/,Official site: office 329 W Mariscal Rd; 2026 events calendar; Pride Honors Sept 24 2026,2026-09-20,open
guerneville,R3 Hotel,other,https://www.ther3hotel.com/,Official site + Press Democrat Apr 25 2026 (hotel operating),2026-09-20,open
guerneville,Face to Face (Sonoma County AIDS Network),health,https://f2f.org/,Official site: Santa Rosa office 873 Second St; 2026 content (World Hepatitis Day July 28),2026-09-20,open
portland,Portland Q Center,center,https://www.pdxqcenter.org/,"Official site lists programs dated Sept 26-Oct 6, 2026",2026-09-20,open
portland,Basic Rights Oregon,other,https://www.basicrights.org/,Official site: news posts dated Aug-Sept 2026; Ignite Gala Oct 10,2026-09-20,open
portland,Portland Gay Men's Chorus,other,https://pdxgmc.org/,Official site: Season 47 (2026-27) dates listed,2026-09-20,open
denver,The Center on Colfax,center,https://lgbtqcolorado.org/,"Official site: lobby hours, Afterglow fundraiser Sept 26 (2026), West of 50 2026 events",2026-09-20,open
denver,Charlie's Denver,bar,https://www.charliesdenver.com/,"Official site: 900 E. Colfax, daily 11am-2am, event listed Oct 4 2026",2026-09-20,open
denver,Colorado Health Network,health,https://www.coloradohealthnetwork.org/,"Official site footer (c) 2026; HIV services, PrEP/PEP; main office 6260 E Colfax Ave",2026-09-20,open
denver,Denver Gay Men's Chorus,other,https://denverchoruses.org/,Official site references 2026-27 box office; concert dates not shown,2026-09-20,open
phoenix,Charlie's Phoenix,bar,https://www.charliesphoenix.com,Official site lists hours and 2026 events; 727 W. Camelback Rd,2026-09-20,open
phoenix,Stacy's @ Melrose,bar,https://www.stacysatmelrose.com,Official site (4343 N 7th Ave),2026-09-20,open
phoenix,one•n•ten,center,https://www.onenten.org,Official site lists 2026 events; serves LGBTQ+ youth ages 11-24,2026-09-20,open
phoenix,Prime Timers of Phoenix,other,https://www.phoenixprimetimers.com,Official site lists Sep-Oct 2026 events; social group for older gay/bisexual men,2026-09-20,open
phoenix,Phoenix Pride,center,https://phoenixpride.org,Official site lists 2026 Pride Festival; states events are continuing,2026-09-20,open
tucson,Southern Arizona AIDS Foundation (SAAF) / Thornhill Lopez Center on 4th,health,https://www.saaf.org,"Official site: HIV clinic, PrEP/PEP, LGBTQ+ youth space; lists 2026 events",2026-09-20,open
tucson,Tucson Pride,other,https://www.tucsonpride.org/,"Board voted to dissolve and cancel Feb 2026 festival (KOLD, Tucson Spotlight, Metro Weekly)",2026-09-20,closed
santa-fe,PRIDE Center (Human Rights Alliance Santa Fe),center,https://hrasantafe.org,"Official site: 1189 Parkway Drive, Suite E2; published hours; Sept 2026 events listed",2026-09-20,open
albuquerque,Transgender Resource Center of New Mexico,center,https://www.tgrcnm.org,Official site: drop-in center at 1515 4th St NW; 2026 job posting with Sept 2026 deadline,2026-09-20,open
albuquerque,ORCA (Older Rainbow Community of Albuquerque),other,https://orcaabq.org,"The Paper (abq.news) profile, 2026-06-10: volunteer-led group for LGBTQ+ adults 50+",2026-09-20,open
albuquerque,Albuquerque Pride,other,https://abqpride.com,"Official site: 2026 PrideFest theme, Aug 2026 annual meeting, monthly meetings",2026-09-20,open
austin,Kind Clinic,health,https://www.kindclinic.org/,"Official site: PrEP, HIV care, gender-affirming HRT; cites 2026 Hill Country Ride for AIDS",2026-09-20,open
austin,BookWoman,bookstore,https://ebookwoman.com/,"Westwood Horizon, 2026-08-26 profile; feminist bookstore with LGBTQ+ titles",2026-09-20,open
austin,Austin LGBT Chamber of Commerce,other,https://austinlgbtchamber.com/,Official site lists Sep 2026 events; office at 535 E 5th St,2026-09-20,open
eureka-springs,Out In Eureka / Diversity In The Ozarks,other,https://www.outineureka.org/,"Official site lists Fall Diversity Weekend 2026 with RSVP open; The Gayly, 2026-01-25",2026-09-20,open
saugatuck,The Dunes Resort,bar,https://www.dunesresort.com/,"Official site: 333 Blue Star Hwy, Douglas; nightclub and cabaret; lists Sep-Oct 2026 weekends",2026-09-20,open
saugatuck,CommUNITY PRIDE (Saugatuck-Douglas),other,https://communitypridemi.org/,Official site lists 2026 events; Wilcox Newspapers 2026-06-03,2026-09-20,open
