scope,slug_or_code,item,value,party,notes,source_url,asof
city,new-hope,mayor,Frank DeLuca,VERIFY,New Hope Borough. The mayor's role is limited; legislative power sits with a seven-member Borough Council.,https://www.newhopeborough.org/264/Borough-Mayor ; https://www.newhopeborough.org/214/Borough-Council,2026-09-20
city,new-hope,rating,HRC Municipal Equality Index 2025: 77/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-New-Hope-Pennsylvania.pdf,2025-11
city,palm-springs,mayor,Naomi Soto,VERIFY,Office is nonpartisan per leginfo.legislature.ca.gov,https://www.nbcpalmsprings.com/2025/12/10/palm-springs-city-council-to-swear-in-new-mayor-discuss-tribal-warehouse-development ; https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CONS&sectionNum=SEC.%206.&article=II,2026-09-20
city,palm-springs,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Palm-Springs-California.pdf,2026-09-20
city,guerneville,mayor,"Lynda Hopkins (Sonoma County Supervisor, District 5)",VERIFY,Unincorporated community with no mayor; county office is nonpartisan per leginfo.legislature.ca.gov,https://sonomacounty.gov/district5 ; https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CONS&sectionNum=SEC.%206.&article=II,2026-09-20
city,guerneville,rating,HRC Municipal Equality Index 2025: 91/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Guerneville-Sonoma-County-California.pdf,2026-09-20
city,las-vegas,mayor,Shelley Berkley (Mayor of Las Vegas),VERIFY,,https://www.fox5vegas.com/2026/04/22/happening-today-las-vegas-mayor-shelley-berkley-deliver-state-city-address/,2026-09-20
city,las-vegas,mayor,Michelle Romero (Mayor of Henderson),VERIFY,Office is nonpartisan per news3lv.com,https://news3lv.com/news/local/michelle-romero-henderson-mayoral-race-runoff-election-primary-nevada-las-vegas-valley-carrie-cox-politics-2026,2026-09-20
city,las-vegas,rating,HRC Municipal Equality Index 2025: 100/100 (Las Vegas),,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Las-Vegas-Nevada.pdf,2026-09-20
city,las-vegas,rating,HRC Municipal Equality Index 2025: 100/100 (Henderson),,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Henderson-Nevada.pdf,2026-09-20
city,portland,mayor,Keith Wilson,Nonpartisan,Office is nonpartisan per portland.gov; next mayoral election 2028; Party per Ballotpedia,https://www.portland.gov/mayor/keith-wilson ; https://www.portland.gov/auditor/elections/city-office-candidacy ; https://ballotpedia.org/Keith_Wilson,2026-09-20
city,portland,ordinance,"Portland City Code Chapter 23.01 bars discrimination based on sexual orientation and gender identity in employment, housing and public accommodations.",,,https://www.portland.gov/code/23/01,2026-09-20
city,portland,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Portland-Oregon.pdf,2026-09-20
city,denver,mayor,Mike Johnston,VERIFY,"Next mayoral election April 6, 2027",https://denvergov.org/Government/Elected-Officials/Mayor,2026-09-20
city,denver,ordinance,"Denver Revised Municipal Code Ch. 28, Art. IV (Ord. 623-90, effective 2/1/91) bars discrimination in employment, housing, public accommodations and more.",,,https://www.denvergov.org/content/dam/denvergov/Portals/643/documents/Offices/antidiscrimination/DADO%20Fact%20Sheet.pdf,2026-09-20
city,denver,legislation,"On Sept 18, 2026 Denver's Health and Safety Committee voted 5-0 to advance an ordinance limiting city collection and sharing of sex, sexual orientation and gender identity data; full council next.",,,https://rockymountainvoice.com/2026/09/18/sex-and-gender-data-limits-clear-denver-committee-5-0-heads-to-full-council/,2026-09-20
city,denver,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Denver-Colorado.pdf,2026-09-20
city,phoenix,mayor,Kate Gallego,Nonpartisan,Office is nonpartisan per phoenix.gov; party not stated on official city pages; Party per Ballotpedia,https://www.phoenix.gov/administration/mayorcouncil.html ; https://www.phoenix.gov/administration/departments/cityclerk/programs-services/elections/november-election-26.html ; https://www.phoenix.gov/administration/mayor.html ; https://ballotpedia.org/Kate_Gallego,2026-09-20
city,phoenix,ordinance,"Phoenix City Code Chapter 18 bars discrimination based on sexual orientation and gender identity or expression in employment, housing and public accommodations.",,,https://www.phoenix.gov/administration/departments/eod/programs-services/public-accommodations.html ; https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Phoenix-Arizona.pdf,2026-09-20
city,phoenix,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Phoenix-Arizona.pdf,2026-09-20
city,tucson,mayor,Regina Romero,Democratic,City Clerk describes Tucson elections as partisan; party not stated on official city pages; next mayoral election 2027; Party per Ballotpedia,https://www.tucsonaz.gov/Departments/Clerks/Elections/About-City-of-Tucson-Elections ; https://www.tucsonaz.gov/Government/Mayor-Council-and-City-Manager/Mayor-Regina-Romero ; https://ballotpedia.org/Regina_Romero,2026-09-20
city,tucson,ordinance,"Tucson City Code Chapter 17 prohibits discrimination based on sexual orientation and gender identity in employment, public accommodation and housing.",,,https://www.tucsonaz.gov/Departments/Office-of-Equal-Opportunity-Programs/Discrimination-Tucson-Residents,2026-09-20
city,tucson,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Tucson-Arizona.pdf,2026-09-20
city,santa-fe,mayor,Michael J. Garcia,Nonpartisan,Office is nonpartisan per santafenm.gov (City Charter sec. 4.10(B)); term ends 2029; Party per Ballotpedia,https://santafenm.gov/elected-officials ; https://santafenm.gov/MunicipalCharter2020DIGITALversion.pdf ; https://www.santafenewmexican.com/news/elections/a-new-journey-santa-fe-city-councilor-michael-garcia-celebrates-victory-in-mayoral-race/article_cb7e720e-9b8c-478d-8b21-f1a3d8ac60f7.html ; https://ballotpedia.org/Michael_Garcia_,2026-09-20
city,santa-fe,ordinance,"Santa Fe Municipal Charter sec. 2.02 bars city discrimination by sex, gender and sexual orientation; the Fair Housing Ordinance also lists sexual orientation.",,,https://santafenm.gov/MunicipalCharter2020DIGITALversion.pdf ; https://santafenm.gov/affordable-housing/fair-housing,2026-09-20
city,santa-fe,rating,HRC Municipal Equality Index 2025: 60/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Santa-Fe-New-Mexico.pdf,2026-09-20
city,albuquerque,mayor,Tim Keller,VERIFY,"Office is nonpartisan per cabq.gov; sworn in for a third term Jan 4, 2026",https://www.cabq.gov/mayor/news/mayor-keller-vetoes-undemocratic-election-measure ; https://www.cabq.gov/mayor/news/tim-keller-sworn-in-for-historic-third-term-as-mayor-of-albuquerque,2026-09-20
city,albuquerque,ordinance,"Albuquerque Code Art. 11-3 (Human Rights Ordinance) bars discrimination by sexual orientation, gender or gender identity in public accommodations and housing.",,,https://www.cabq.gov/civilrights/albuquerque-human-rights-ordinance,2026-09-20
city,albuquerque,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/files/documents/MEI-Scorecard-Assets/MEI-25-Scorecards/MEI-2025-Albuquerque-New-Mexico.pdf,2026-09-20
city,austin,mayor,Kirk Watson,Nonpartisan,Term ends 2029 per austintexas.gov; party not stated on city page; Party per Ballotpedia,https://www.austintexas.gov/mayor ; https://ballotpedia.org/Kirk_Watson,2026-09-20
city,austin,ordinance,"City of Austin prohibits discrimination based on sexual orientation and gender identity in employment, housing and public accommodations.",,,https://www.hrc.org/resources/municipalities/austin-tx,2026-09-20
city,austin,legislation,In Dec 2025 the Austin City Council passed a resolution directing the city manager to explore replacing multi-occupancy restrooms with single-occupancy ones in response to state SB 8.,,,https://www.texastribune.org/2025/12/12/texas-bathroom-bill-implementation-policy-capitol/,2025-12-12
city,austin,rating,HRC Municipal Equality Index 2025: 100/100,,Rating published by the Human Rights Campaign,https://www.austintexas.gov/news/city-austin-earns-top-score-2025-municipal-equality-index,2025-11-19
city,eureka-springs,mayor,Robert D. 'Butch' Berry,VERIFY,Office is nonpartisan per arkansasonline.com; seat is on the Nov 2026 ballot per legends1063.fm,https://www.arkansasonline.com/news/2022/nov/10/berry-reelected-to-third-term-as-eureka-springs/ ; https://www.legends1063.fm/news/local-news/arkansas-candidate-filing-deadline-which-races-will-be-contested-in-november/,2026-09-20
state,CA,governor,Gavin Newsom,Democratic,Party per NCSL State Partisan Composition,https://www.gov.ca.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CA,legislature_upper,"Senate: 30 D, 10 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CA,legislature_lower,"Assembly: 60 D, 20 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CA,legislation,"SB 934 (sexual orientation and gender identity change efforts), AB 1930 (subpoenas and information requests relating to abortion and gender-affirming health care) and SB 1114 (sexual orientation, gender identity and intersex data collection) had passed the Legislature and were awaiting the Governor's action as of 2026-09-20.",,,https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260SB934 ; https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260AB1930 ; https://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202520260SB1114,2026-09-20
state,FL,governor,Ron DeSantis,Republican,Party per NCSL State Partisan Composition,http://www.flgov.com/eog/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,FL,legislature_upper,"Senate: 27 R, 12 D, 1 other",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,FL,legislature_lower,"House: 84 R, 34 D, 2 vacant",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,FL,legislation,"SB 1134 (Ch. 2026-43), signed 2026-04-22 and effective 2027-01-01, prohibits counties and municipalities from funding or promoting diversity, equity and inclusion, which the bill text defines by characteristics including sexual orientation and gender identity.",,,https://www.flsenate.gov/Session/Bill/2026/1134 ; https://www.flsenate.gov/Session/Bill/2026/1134/BillText/er/HTML ; https://www.flsenate.gov/Session/Bill/2026/1001,2026-09-20
state,NC,governor,Josh Stein,Democratic,Party per NCSL State Partisan Composition,https://governor.nc.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NC,legislature_upper,"Senate: 30 R, 20 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NC,legislature_lower,"House: 71 R, 47 D, 2 other",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NC,legislation,HB 805 (S.L. 2025-84) became law on 2025-07-29 when the General Assembly overrode the Governor's veto; WUNC reports it requires transgender individuals' birth certificates to show original sex and permits legal action against providers of gender transition treatments.,,,https://www.ncleg.gov/BillLookUp/2025/H805 ; https://www.wunc.org/politics/2025-07-30/gov-stein-house-bill-805-mean-spirited-toward-trans-people,2026-09-20
state,DE,governor,Matt Meyer,Democratic,Party per NCSL State Partisan Composition,https://governor.delaware.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,DE,legislature_upper,"Senate: 15 D, 6 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,DE,legislature_lower,"House: 27 D, 14 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,DE,legislation,Executive Order 20 (announced 2026-03-26) expands the Delaware LGBTQ+ Commission from nine to fifteen members.,,,https://news.delaware.gov/2026/03/26/governor-matt-meyer-expands-delaware-lgbtq-commission/,2026-09-20
state,AZ,governor,Katie Hobbs,Democratic,Party per NCSL State Partisan Composition,https://azgovernor.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AZ,legislature_upper,"Senate: 17 R, 13 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AZ,legislature_lower,"House: 33 R, 27 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,AZ,legislation,"HCR 2003, a legislative referral, would require schools and athletic associations to designate teams by the sex on the original birth certificate and restrict restroom, locker-room and shower use to facilities designated for an individual's sex. KJZZ reports a Maricopa County judge ruled on 2026-07-16 that it stays on the November 2026 ballot.",,,https://www.azleg.gov/legtext/57leg/2R/bills/HCR2003P.htm ; https://www.kjzz.org/politics/2026-07-16/measure-banning-transgender-students-from-using-preferred-bathrooms-stays-on-arizona-ballot,2026-09-20
state,NM,governor,Michelle Lujan Grisham,Democratic,Party per NCSL State Partisan Composition,https://www.governor.state.nm.us/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NM,legislature_upper,"Senate: 26 D, 16 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NM,legislature_lower,"House: 44 D, 26 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NM,legislation,"SB 40, the Driver Privacy and Safety Act (signed 2026-03-04, Ch. 20), bars license-plate-reader users from sharing reader data when they reasonably believe it may be used to investigate protected health care activity, which the act defines to include gender-affirming care.",,,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=40&year=26 ; https://www.nmlegis.gov/Sessions/26%20Regular/final/SB0040.pdf,2026-09-20
state,NV,governor,Joe Lombardo,Republican,Party per NCSL State Partisan Composition,https://gov.nv.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NV,legislature_upper,"Senate: 13 D, 8 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NV,legislature_lower,"Assembly: 27 D, 15 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,NV,legislation,"SB 171 (2025), which would have barred health care licensing boards from disciplining providers of lawful gender-affirming care, was vetoed by Governor Lombardo, per KTNV.",,,https://archive.leg.state.nv.us/Session/83rd2025/Bills/SB/SB171.pdf ; https://ktnv.com/news/nevadas-legislative-session-brings-mixed-results-for-lgbtq-protections,2026-09-20
state,CO,governor,Jared Polis,Democratic,Party per NCSL State Partisan Composition,https://governorsoffice.colorado.gov/governor/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CO,legislature_upper,"Senate: 23 D, 12 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CO,legislature_lower,"House: 43 D, 22 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,CO,legislation,"HB26-1322 (signed 2026-06-01, effective 2026-07-01) lets people injured by conversion therapy bring civil claims against licensed mental health professionals who practiced it.",,,https://leg.colorado.gov/bills/HB26-1322,2026-09-20
state,CO,legislation,"SB25-129 (signed 2025-04-24) requires people requesting subpoenas to affirm they will not use information against providers of protected health care, allows civil actions by people subject to out-of-state actions over protected care, and bars state and local funding of out-of-state investigations of such providers.",,,https://leg.colorado.gov/bills/SB25-129,2026-09-20
state,OR,governor,Tina Kotek,Democratic,Party per NCSL State Partisan Composition,https://www.oregon.gov/gov/pages/index.aspx ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,OR,legislature_upper,"Senate: 18 D, 12 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,OR,legislature_lower,"House: 37 D, 23 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,OR,legislation,"HB 4088 (2026) is listed by the Oregon Legislature as enacted (Ch. 52); its summary covers access to reproductive and gender-affirming health care, non-cooperation with other-state or federal enforcement on legally protected health care, and record confidentiality.",,,https://olis.oregonlegislature.gov/liz/2026R1/Measures/Overview/HB4088,2026-09-20
state,TX,governor,Greg Abbott,Republican,Party per NCSL State Partisan Composition,https://gov.texas.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TX,legislature_upper,"Senate: 18 R, 12 D, 1 vacant",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TX,legislature_lower,"House: 88 R, 62 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,TX,legislation,Texas Supreme Court Misc. Docket 25-9082 (2025-10-24) adds a comment to Canon 4 stating a judge does not violate the canons by publicly declining to perform a wedding ceremony based on a sincerely held religious belief.,,,https://www.txcourts.gov/media/1461440/259082.pdf,2026-09-20
state,GA,governor,Brian P. Kemp,Republican,Party per NCSL State Partisan Composition,https://gov.georgia.gov/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,GA,legislature_upper,"Senate: 33 R, 22 D, 1 vacant",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,GA,legislature_lower,"House: 99 R, 79 D, 2 vacant",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MA,governor,Maura Healey,Democratic,Party per NCSL State Partisan Composition,https://www.mass.gov/orgs/governor-maura-healey-and-lt-governor-kim-driscoll ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MA,legislature_upper,"Senate: 35 D, 5 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MA,legislature_lower,"House: 132 D, 25 R, 1 other, 2 vacant",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MA,legislation,S.2543 (enacted 2025-07-31; signed 2025-08-07 per WBUR) limits release of sensitive patient data for reproductive and transgender care and lets prescription labels show a practice name instead of an individual physician's name.,,,https://malegislature.gov/Bills/194/S2543 ; https://www.wbur.org/news/2025/08/07/massachusetts-reproductive-transgender-care-protections,2026-09-20
state,ME,governor,Janet T. Mills,Democratic,Party per NCSL State Partisan Composition,https://www.maine.gov/governor/mills/ ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,ME,legislature_upper,"Senate: 20 D, 14 R, 1 other",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,ME,legislature_lower,"House: 75 D, 72 R, 3 other, 1 vacant",Democratic (plurality),"Democrats hold a plurality, not a majority, per NCSL",https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,PA,governor,Josh Shapiro,Democratic,Party per NCSL State Partisan Composition,https://www.pa.gov/governor ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,PA,legislature_upper,"Senate: 27 R, 23 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,PA,legislature_lower,"House: 102 D, 99 R, 2 vacant",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,PA,legislation,"HB 2103 would add sexual orientation and gender identity to the Human Relations Act's housing, employment and public accommodations protections; the House passed it 101-100 on 2026-04-28 and it is pending in the Senate State Government Committee as of 2026-09-20.",,,https://www.palegis.us/legislation/bills/2025/hb2103 ; https://www.cityandstatepa.com/policy/2026/04/house-passes-bill-would-enshrine-lgbtq-nondiscrimination-protections-state-law/413184/,2026-09-20
state,MI,governor,Gretchen Whitmer,Democratic,Party per NCSL State Partisan Composition,https://www.michigan.gov/whitmer ; https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MI,legislature_upper,"Senate: 20 D, 18 R",Democratic,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
state,MI,legislature_lower,"House: 58 R, 52 D",Republican,Control per NCSL State Partisan Composition,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,2026-05-27
